,time,tc_1,tc_2
0,0.0,21.8,21.6
1,1.0,21.8,21.6
2,2.0,21.8,21.6
3,3.0,21.8,21.6
4,4.0,21.8,21.6
5,5.0,21.8,21.6
6,6.0,21.8,21.6
7,7.0,21.8,21.6
8,8.0,21.8,21.6
9,9.0,21.8,21.6
10,10.0,21.8,21.6
11,11.0,21.7,21.5
12,12.0,21.7,21.5
13,13.0,21.7,21.5
14,14.0,21.7,21.5
15,15.0,21.7,21.5
16,16.0,21.7,21.5
17,17.0,21.7,21.5
18,18.0,21.7,21.5
19,19.0,21.7,21.5
20,20.0,21.7,21.5
21,21.0,21.7,21.5
22,22.0,21.8,21.5
23,23.0,21.8,21.6
24,24.0,21.8,21.6
25,25.0,21.8,21.6
26,26.0,21.8,21.6
27,27.0,21.8,21.6
28,28.0,21.8,21.6
29,29.0,21.8,21.6
30,30.0,21.8,21.6
31,31.0,21.8,21.6
32,32.0,21.8,21.6
33,33.0,21.8,21.6
34,34.0,21.8,21.6
35,35.0,21.8,21.6
36,36.0,21.8,21.6
37,37.0,21.8,21.6
38,38.0,21.8,21.6
39,39.0,21.8,21.6
40,40.0,21.8,21.6
41,41.0,21.8,21.6
42,42.0,21.8,21.6
43,43.0,21.8,21.6
44,44.0,21.8,21.6
45,45.0,21.8,21.6
46,46.0,21.8,21.6
47,47.0,21.8,21.6
48,48.0,21.8,21.6
49,49.0,21.7,21.5
50,50.0,21.7,21.5
51,51.0,21.7,21.5
52,52.0,21.7,21.5
53,53.0,21.7,21.5
54,54.0,21.8,21.5
55,55.0,21.8,21.6
56,56.0,21.8,21.6
57,57.0,21.8,21.6
58,58.0,21.8,21.6
59,59.0,21.8,21.6
60,60.0,21.8,21.7
61,61.0,21.9,21.7
62,62.0,22.0,21.7
63,63.0,23.4,21.8
64,64.0,24.3,21.9
65,65.0,25.4,22.0
66,66.0,26.6,22.0
67,67.0,27.6,22.2
68,68.0,27.6,22.4
69,69.0,29.0,22.7
70,70.0,30.1,23.0
71,71.0,31.3,23.3
72,72.0,32.4,23.6
73,73.0,33.7,23.6
74,74.0,33.7,24.0
75,75.0,35.1,24.3
76,76.0,36.3,24.7
77,77.0,37.6,25.0
78,78.0,38.6,25.4
79,79.0,39.9,25.7
80,80.0,41.1,25.7
81,81.0,42.2,26.1
82,82.0,42.2,26.4
83,83.0,43.7,26.8
84,84.0,44.9,27.2
85,85.0,46.1,27.5
86,86.0,47.2,27.9
87,87.0,48.5,28.2
88,88.0,49.7,28.2
89,89.0,50.8,28.6
90,90.0,50.8,29.0
91,91.0,52.2,29.3
92,92.0,53.4,29.6
93,93.0,54.5,30.0
94,94.0,55.6,30.4
95,95.0,56.8,30.7
96,96.0,57.9,30.7
97,97.0,59.0,31.0
98,98.0,59.0,31.4
99,99.0,60.3,31.7
100,100.0,61.5,32.1
101,101.0,62.7,32.4
102,102.0,63.7,32.7
103,103.0,64.7,32.7
104,104.0,64.7,33.1
105,105.0,66.1,33.4
106,106.0,67.2,33.8
107,107.0,68.3,34.1
108,108.0,69.3,34.4
109,109.0,70.5,34.8
110,110.0,71.5,34.8
111,111.0,72.4,35.2
112,112.0,72.4,35.5
113,113.0,73.7,35.8
114,114.0,74.7,36.1
115,115.0,75.8,36.5
116,116.0,76.7,36.8
117,117.0,77.9,37.1
118,118.0,78.9,37.1
119,119.0,79.8,37.4
120,120.0,79.8,37.7
121,121.0,81.0,38.0
122,122.0,82.1,38.3
123,123.0,82.9,38.7
124,124.0,83.9,39.0
125,125.0,84.9,39.3
126,126.0,85.8,39.3
127,127.0,86.7,39.6
128,128.0,86.7,39.9
129,129.0,87.8,40.2
130,130.0,88.7,40.5
131,131.0,89.7,40.7
132,132.0,90.6,41.0
133,133.0,91.4,41.0
134,134.0,91.4,41.3
135,135.0,92.6,41.6
136,136.0,93.4,41.9
137,137.0,94.3,42.1
138,138.0,95.2,42.4
139,139.0,96.1,42.7
140,140.0,97.0,42.7
141,141.0,97.8,42.9
142,142.0,97.8,43.2
143,143.0,98.8,43.5
144,144.0,99.6,43.8
145,145.0,100.4,44.0
146,146.0,101.2,44.3
147,147.0,102.1,44.6
148,148.0,102.9,44.6
149,149.0,103.7,44.8
150,150.0,103.7,45.1
151,151.0,104.7,45.4
152,152.0,105.5,45.6
153,153.0,106.3,45.9
154,154.0,107.0,46.1
155,155.0,107.8,46.4
156,156.0,108.6,46.4
157,157.0,109.4,46.6
158,158.0,109.4,46.8
159,159.0,110.3,47.1
160,160.0,111.0,47.3
161,161.0,111.8,47.6
162,162.0,112.6,47.8
163,163.0,113.3,47.8
164,164.0,113.3,48.0
165,165.0,114.1,48.3
166,166.0,114.9,48.5
167,167.0,115.6,48.7
168,168.0,116.3,49.0
